"Name","Amount","Month","State","Lead_Source","Converted"
"Candido Boehm II",544.619500071624,3,"Idaho","Advertisement",1
"Dallas Mertz-Frami",930.908753996699,9,"Montana","Employee Referral",1
"Myer Crona Sr.",752.506324513419,10,"Montana","Advertisement",0
"Jenelle Stanton",1200.3069006675,10,"Montana","Advertisement",1
"Elisabeth Pagac-Jacobi",921.534713897821,5,"Montana","Advertisement",1
"Dr. Damon Veum",1209.70725038567,12,"Idaho","Advertisement",0
"Latoya Witting",509.573530934368,8,"Montana","Employee Referral",0
"Mrs. Barbara Predovic MD",864.000015511103,5,"Idaho","Advertisement",0
"Ms. Julissa Cremin DVM",1747.17696247819,4,"Colorado","Advertisement",1
"Elvie Turcotte",272.089473375382,6,"Montana","Advertisement",1
"Georgianna Runolfsson DDS",1053.78718236397,8,"Idaho","Advertisement",1
"Dr. Stetson Schumm",358.462106370869,9,"Montana","Advertisement",0
"Chelsy Boyle",1114.81017442729,7,"Montana","Employee Referral",1
"Mr. Terry Berge IV",573.492200993399,8,"Colorado","Employee Referral",1
"Dr. Hamza Spinka",382.222718869164,11,"Indiana","Social Media",0
"Maggie Walker",687.903548355372,4,"Indiana","Employee Referral",0
"Mckenzie Schmitt",489.123207240193,12,"Indiana","Employee Referral",0
"Reinhold Rosenbaum",2410.85278336114,10,"Indiana","Advertisement",1
"Rance Predovic",1285.25155770152,11,"Indiana","Advertisement",0
"Micah Kertzmann",768.9020174818,7,"Montana","Social Media",0
"Rayfield Kulas DVM",661.491364941586,7,"Indiana","Social Media",0
"Eleanore Hickle",1035.00082499139,8,"Indiana","Employee Referral",1
"Dirk Luettgen",459.694760536663,11,"Montana","Social Media",0
"Portia Rolfson-Marks",734.215893474891,4,"Colorado","Social Media",0
"Orie Champlin III",614.499873204562,11,"Indiana","Advertisement",0
"Davon Brekke",524.44755880771,2,"Montana","Advertisement",0
"Dustyn Zieme Jr.",733.062561377285,1,"Idaho","Social Media",0
"Alberto O'Connell",486.120398193768,11,"Indiana","Social Media",0
"Lamonte Nicolas",187.017608495382,12,"Idaho","Advertisement",0
"Chace O'Connell",1933.50246130273,7,"Idaho","Social Media",1
"Roxy Torphy",1375.73059518566,8,"Montana","Employee Referral",0
"Precious Blanda-Schroeder",403.398733324892,7,"Idaho","Social Media",0
"Otha Parisian",466.627613307655,12,"Montana","Employee Referral",0
"Fitzhugh Baumbach II",531.218673876984,1,"Montana","Social Media",0
"Yehuda Gislason",601.299374332342,3,"Montana","Employee Referral",0
"Raiden Sporer",859.483312174046,3,"Idaho","Advertisement",0
"Tremayne Weimann III",2422.91712491872,10,"Montana","Advertisement",1
"Meta Kohler",1256.83807657746,2,"Idaho","Employee Referral",0
"Justin Funk",641.235695918435,1,"Idaho","Advertisement",0
"Tayler Connelly-O'Reilly",661.200320874579,1,"Montana","Social Media",0
"Dorine Corwin",897.891799041841,10,"Montana","Employee Referral",0
"Ivanna Botsford",683.400054881779,10,"Montana","Advertisement",0
"Georgiana Hoppe DVM",659.312038977389,10,"Idaho","Employee Referral",0
"Dr. Corry Morissette I",322.372313107828,2,"Idaho","Employee Referral",0
"Miss Dyan Rau",666.725141953881,3,"Indiana","Employee Referral",1
"Burl Mueller",378.127063888613,2,"Montana","Employee Referral",0
"Barron Orn-Baumbach",400.846303099242,3,"Indiana","Advertisement",0
"Jerrold Stroman-Lockman",727.909760607991,9,"Montana","Employee Referral",0
"Ms. Dagmar Schaden MD",1230.80024128625,11,"Idaho","Advertisement",0
"Elliot Windler",911.775397489843,2,"Montana","Advertisement",0
"Estefany Greenfelder",1540.72294901844,3,"Montana","Employee Referral",1
"Lonny Rosenbaum",848.404397973046,1,"Colorado","Social Media",0
"Sienna Borer",788.833181636998,11,"Indiana","Advertisement",0
"Kaitlyn Gottlieb",1986.72846306139,12,"Idaho","Advertisement",0
"Susann Green",870.784330093736,5,"Indiana","Advertisement",1
"Dr. Arvid Ritchie Sr.",1046.36224380469,6,"Montana","Social Media",1
"Beryl Lubowitz",1019.74002195084,10,"Idaho","Advertisement",0
"Storm Tromp",336.695661627142,7,"Montana","Employee Referral",0
"Kaiya Pfeffer",1421.10294800165,11,"Idaho","Advertisement",0
"Mariam Jaskolski",1234.38227875666,8,"Montana","Employee Referral",1
"Adriene Spinka-Towne",1646.59854002946,11,"Indiana","Advertisement",0
"Stone Cole",1083.12306567346,5,"Montana","Advertisement",1
"Frankie Frami",464.749032548663,8,"Colorado","Social Media",1
"Miss Jaimee McGlynn PhD",810.772490889797,1,"Montana","Advertisement",0
"Quinten Stroman",1396.17427818514,11,"Indiana","Social Media",0
"Ardelle Ratke",780.299997999103,3,"Indiana","Social Media",1
"Percy O'Reilly",759.973870970662,11,"Indiana","Advertisement",0
"Mr. Kadyn Bashirian MD",458.202459301845,7,"Indiana","Employee Referral",0
"Mr. Kendrick Dooley",376.507136146055,2,"Indiana","Employee Referral",0
"Sommer Upton-Beer",869.971114445535,2,"Montana","Advertisement",0
"Karol Kemmer-Auer",556.5119155221,1,"Montana","Advertisement",0
"Nolie McClure-Schneider",487.778103581631,3,"Montana","Employee Referral",0
"Mrs. Margret Boehm DDS",550.529961909284,12,"Indiana","Advertisement",0
"Demond Johns",1446.52879512613,4,"Montana","Advertisement",0
"Jeramie Wehner PhD",1216.36177700429,3,"Colorado","Social Media",1
"Kalel Moore",2750.41981140714,12,"Montana","Social Media",0
"Hoke Hilll",712.138694006003,12,"Montana","Employee Referral",0
"Brittni Rolfson-Rohan",715.446779502707,8,"Idaho","Advertisement",0
"Retta Lesch",804.134568361308,10,"Montana","Advertisement",1
"Dr. Haiden Brown MD",1145.84536306491,1,"Idaho","Employee Referral",0
"Barrie Langosh-Prohaska",704.180844250584,6,"Colorado","Advertisement",0
"Jorden Gottlieb",1142.94273194334,3,"Montana","Advertisement",1
"Amaris Jenkins-Goodwin",627.091449118134,1,"Indiana","Employee Referral",0
"Corrie Fadel DDS",603.994658736588,2,"Montana","Advertisement",0
"Mr. Gay Zboncak",500.756223261143,10,"Montana","Employee Referral",0
"Wood Buckridge",1005.13416836481,7,"Idaho","Advertisement",1
"Layla Mosciski",561.617741015456,11,"Colorado","Employee Referral",0
"Delma Predovic DDS",814.212510029878,9,"Montana","Employee Referral",1
"Deeann Rau",524.356045009865,5,"Indiana","Advertisement",0
"Mr. Jacoby Hayes",953.379340154661,4,"Montana","Employee Referral",1
"Janet Ortiz MD",457.890340416662,9,"Idaho","Employee Referral",0
"Isaac Connelly",522.797230140694,2,"Idaho","Advertisement",0
"Mrs. Etha Robel",557.906794799414,2,"Colorado","Advertisement",0
"Bernadette Harris",1363.70276418364,12,"Montana","Advertisement",0
"Alana Marquardt",606.51012526556,10,"Idaho","Social Media",0
"Cara Fisher",1058.67759562546,12,"Colorado","Employee Referral",0
"Shannon Weimann PhD",412.775879119118,2,"Montana","Social Media",0
"Esta Cole",993.712845055047,8,"Montana","Social Media",0
"Dr. Euphemia Crooks",1052.2852256503,5,"Indiana","Employee Referral",1
"Mrs. Olga Koelpin",697.019026710303,6,"Indiana","Social Media",0
"Malaya Bashirian PhD",912.494657405282,5,"Colorado","Advertisement",0
"Ferd Walsh-Connelly",721.305508722626,11,"Montana","Advertisement",0
"Ms. Arely Pacocha",622.588574475228,5,"Indiana","Social Media",1
"Dr. Cassius Nikolaus DVM",849.119019776929,10,"Indiana","Social Media",0
"Lucretia D'Amore",387.022481317394,12,"Idaho","Advertisement",0
"Marguerite Hegmann",712.432918651632,8,"Idaho","Employee Referral",1
"Mr. Jaret Wilkinson",864.831221290806,12,"Montana","Employee Referral",0
"Kloe West-Parisian",668.017243182872,4,"Indiana","Social Media",0
"Mr. Moises Greenfelder",286.927242365968,12,"Idaho","Advertisement",0
"Mr. Mcarthur Bruen",1155.31438407429,4,"Indiana","Employee Referral",1
"Rosamond Schiller",944.371767689613,9,"Idaho","Advertisement",1
"Adrain Reilly",611.78452201779,1,"Montana","Advertisement",0
"Jonathon Crooks",704.940256134231,3,"Montana","Employee Referral",0
"Cassie Sanford",843.717399980386,2,"Montana","Advertisement",0
"Daisey Prosacco MD",776.102726990103,3,"Montana","Employee Referral",1
"Ms. Teagan Herman",1093.37829741264,9,"Idaho","Employee Referral",0
"Emmy Douglas-Schinner",1199.52610879656,10,"Colorado","Advertisement",0
"Mrs. Mellissa Grady PhD",584.493282722363,12,"Indiana","Employee Referral",0
"Emmit Kulas-Jakubowski",664.06808547872,12,"Idaho","Employee Referral",0
"Jaclyn Kling",657.177436479066,10,"Montana","Employee Referral",0
"Mr. Giancarlo Schiller II",3003.64814831884,8,"Indiana","Advertisement",1
"Camilla Crooks",563.118389742573,4,"Montana","Social Media",0
"Baker Schulist III",1220.70894654928,10,"Montana","Employee Referral",1
"Stephania Murray",1003.42169048365,7,"Colorado","Employee Referral",0
"Pallie Ryan",920.973532111219,10,"Idaho","Advertisement",1
"Dr. Demarco Stark",947.066442906386,3,"Idaho","Social Media",1
"Dewitt Pacocha V",1188.20790015989,9,"Montana","Advertisement",1
"Ananias Zemlak",264.046907486083,10,"Idaho","Advertisement",0
"Miss Essence Bernhard",1322.83151696464,12,"Indiana","Advertisement",0
"Lue Thompson",1016.69024206067,3,"Colorado","Employee Referral",1
"Press Padberg II",463.594959535655,1,"Montana","Advertisement",0
"Callum Grimes",1150.53054277281,2,"Indiana","Employee Referral",0
"Darrel Weissnat-Hane",2130.06425819659,7,"Idaho","Social Media",1
"Joe Hammes-Keebler",1318.4851515579,11,"Idaho","Social Media",0
"Ms. Ruthann Hoppe MD",1701.27347630067,9,"Montana","Advertisement",1
"Johnpaul Kassulke",620.501906923895,11,"Indiana","Employee Referral",0
"Lona Fritsch DVM",873.790491128191,1,"Indiana","Employee Referral",0
"Miss Kenisha McDermott MD",1298.79944290338,12,"Idaho","Advertisement",0
"Maiya Auer",593.08665518395,3,"Montana","Advertisement",1
"Dr. Preston Donnelly Jr.",756.273189791303,2,"Idaho","Employee Referral",0
"Chaz Purdy",735.282922868673,3,"Indiana","Employee Referral",0
"Andrew Medhurst",784.081996466403,6,"Montana","Social Media",0
"Kyla Schinner",1026.51753799905,2,"Idaho","Advertisement",0
"Rueben Ruecker DVM",1579.73350873368,10,"Montana","Social Media",1
"Dawn Dicki",523.294517633014,7,"Indiana","Advertisement",1
"Dr. Harlon Lindgren",1608.28187120865,3,"Montana","Advertisement",1
"Raelyn Rutherford",615.336450226321,10,"Montana","Advertisement",1
"Darian Kuhn",1195.43084310417,12,"Indiana","Employee Referral",0
"Mr. Lucius Glover II",1667.74456832369,5,"Montana","Social Media",1
"Inez Jakubowski",1032.27347805653,10,"Indiana","Employee Referral",1
"Rosanne Ziemann",616.79139294233,7,"Indiana","Social Media",0
"Bama Renner DVM",1363.57599646566,5,"Indiana","Social Media",0
"Chauncey Stanton V",1725.04521431136,5,"Colorado","Advertisement",0
"Mr. Barnard Muller",1327.46084978032,5,"Colorado","Advertisement",1
"Eloisa Strosin",1238.84872069092,6,"Montana","Advertisement",1
"Terrill Reichel",1534.1439642856,2,"Colorado","Employee Referral",0
"Dr. Marissa Schmitt DVM",711.947397601929,10,"Colorado","Employee Referral",1
"Cherry Morar",992.735185095505,5,"Colorado","Advertisement",1
"Anneliese Johnson-Gottlieb",1419.78048949796,10,"Montana","Advertisement",1
"Delta Bruen",239.386626512443,1,"Montana","Social Media",0
"Ty Bruen",1051.64979222695,5,"Montana","Advertisement",1
"Roselyn DuBuque",1713.57030626633,10,"Idaho","Social Media",1
"Orah Beatty",799.057257479052,10,"Montana","Advertisement",1
"Orlo Hills V",1133.92759717971,1,"Montana","Advertisement",0
"Petra Stanton-Gutkowski",491.533607147692,1,"Idaho","Employee Referral",0
"Rudolph Hyatt-Jaskolski",1436.67406853602,8,"Indiana","Advertisement",1
"Kim Monahan",944.247682386986,6,"Idaho","Social Media",1
"Mr. Kadyn Fahey I",1005.122839647,6,"Montana","Advertisement",0
"Verna Wehner DDS",957.337784762427,3,"Montana","Social Media",1
"Zachery Wiegand",892.341877066001,3,"Indiana","Employee Referral",0
"Karl Pfeffer",1071.39569883346,2,"Indiana","Advertisement",0
"Dr. Dawna Cartwright DDS",1599.35946056722,6,"Montana","Social Media",1
"Noemie Hodkiewicz",614.927570119628,5,"Montana","Advertisement",0
"Violette Kutch",1829.82080354219,2,"Montana","Advertisement",0
"Mr. Jaime Murray",703.395455768778,1,"Montana","Advertisement",0
"Mrs. Birtie Hyatt",845.823769785802,11,"Idaho","Employee Referral",0
"Junius Schoen",406.447421075058,9,"Montana","Employee Referral",0
"Marni Cole-Daniel",881.431715950153,1,"Montana","Social Media",0
"Alpha Witting-Carroll",463.626496524089,2,"Idaho","Advertisement",0
"Beverlee Harber",985.274916042629,12,"Indiana","Employee Referral",0
"Brittny Torphy",1916.9121117101,12,"Idaho","Social Media",0
"Nathen Aufderhar",427.048709515494,9,"Indiana","Advertisement",0
"Roma Harber",422.306596774479,6,"Idaho","Advertisement",0
"Ennis DuBuque",1407.13660687017,3,"Idaho","Advertisement",0
"Miss Gladyce Kshlerin PhD",832.512030519216,2,"Montana","Advertisement",0
"Dr. Beth Steuber PhD",1402.95817233921,10,"Montana","Social Media",1
"Mr. Lemon Pollich",3278.02991895595,11,"Indiana","Advertisement",0
"Shannon Feeney",472.832684850437,4,"Montana","Advertisement",0
"Roxy Jacobs",1012.66093356409,6,"Idaho","Employee Referral",1
"Brown Harber",340.200675981157,6,"Idaho","Employee Referral",0
"Dr. Jonas Dibbert IV",626.541270646937,9,"Montana","Advertisement",0
"Simeon Terry",626.574013889865,2,"Montana","Social Media",0
"Otha Stamm",909.660531260206,11,"Montana","Employee Referral",0
"Lillianna Wiegand",824.737116753731,12,"Montana","Employee Referral",0
"Constantine Herman",565.302937072745,12,"Indiana","Social Media",0
"Javen Conn",1011.22923811534,10,"Idaho","Advertisement",1
"Ms. Classie Rutherford",697.829565576636,2,"Idaho","Advertisement",0
"Wilhelm Lesch",635.768610555933,7,"Montana","Advertisement",0
"Vonda Rau",819.919940904972,4,"Montana","Advertisement",1
"Mr. Micah Braun II",1044.84952561953,9,"Montana","Social Media",1
"Diego Larson",787.398471992785,11,"Montana","Advertisement",0
"Mr. Christion Turner PhD",1665.10656745174,5,"Indiana","Advertisement",1
"Dr. Commodore McClure PhD",675.598956884654,4,"Colorado","Advertisement",1
"Buren Hyatt MD",944.691853016471,11,"Idaho","Advertisement",0
"French Bauch",304.791607839111,3,"Colorado","Advertisement",1
"Lionel Beer-Quigley",1481.41251880756,4,"Idaho","Employee Referral",1
"Mr. Murphy Anderson Sr.",1370.21749212038,11,"Indiana","Employee Referral",0
"Armani Bernier-Langosh",694.561955253979,8,"Indiana","Advertisement",1
"Hilton Spinka MD",337.119758679451,6,"Indiana","Social Media",0
"Kristian McLaughlin",695.652863231499,5,"Idaho","Employee Referral",0
"Mrs. Leola Wilderman MD",1603.65829687659,5,"Indiana","Social Media",1
"Elyssa Corwin",1359.77139070072,6,"Indiana","Employee Referral",1
"Kaila Ankunding-Becker",764.510201495344,2,"Idaho","Employee Referral",0
"Wilburn Herzog",622.071681551427,2,"Indiana","Advertisement",0
"Haruko Vandervort DVM",1024.97861602681,11,"Idaho","Advertisement",0
"Dr. Miriah Jacobi",2023.41784190344,10,"Montana","Employee Referral",1
"Aggie Walter-Hauck",595.50370147293,2,"Indiana","Advertisement",0
"Reyes Walker Jr.",1335.30824664407,7,"Montana","Advertisement",1
"Velvet Okuneva-Herman",683.629581247615,4,"Colorado","Employee Referral",0
"Jabez Mohr",1032.8598998054,7,"Idaho","Advertisement",1
"Shanon Anderson",919.156708477723,3,"Idaho","Advertisement",1
"Miss Nellie Fritsch PhD",1689.51158414023,5,"Indiana","Social Media",1
"Markita Kassulke MD",611.307524889341,7,"Montana","Employee Referral",0
"Chanelle Green-Gutkowski",840.855592034179,2,"Indiana","Employee Referral",0
"Arkie Homenick",2665.86958811226,6,"Colorado","Social Media",1
"Nunzio Hilpert-Herman",723.344149412037,1,"Indiana","Employee Referral",0
"Remy Grady",1002.65424411437,2,"Idaho","Advertisement",0
"Aloysius Donnelly",2649.90689798561,4,"Idaho","Advertisement",0
"Mr. Emmitt Jerde",619.884160059775,8,"Montana","Advertisement",1
"Namon Fritsch",1083.65850023414,11,"Montana","Employee Referral",0
"Dr. Karim Leannon",806.590875927663,7,"Montana","Social Media",1
"Jaxton Maggio",571.396403761561,8,"Idaho","Advertisement",0
"Rene Breitenberg",510.465007240882,7,"Indiana","Employee Referral",0
"Brandie Schmitt",1597.89870446682,5,"Montana","Employee Referral",1
"Mr. Kenton Rolfson",1221.92823350565,7,"Colorado","Advertisement",1
"Daniela Wiza",730.031786462419,6,"Colorado","Advertisement",0
"Jarrell Reichel",800.857290166673,10,"Indiana","Employee Referral",1
"Percival Bergstrom-Haley",708.880666445128,9,"Montana","Advertisement",1
"Armani Jaskolski",2002.19777210744,10,"Idaho","Advertisement",1
"Mr. Myrl Tremblay DDS",1517.62005485144,9,"Colorado","Advertisement",0
"Jeri Herzog-Hermann",1129.29577755259,4,"Idaho","Advertisement",1
"Abdullah Hamill",1753.30624477814,8,"Montana","Advertisement",1
"Dennie Heathcote-Ullrich",607.004056956475,7,"Indiana","Employee Referral",0
"Mr. Bjorn Carter IV",458.962789894191,11,"Indiana","Employee Referral",0
"Jaleesa Emmerich",1265.18139481946,6,"Montana","Employee Referral",1
"Clovis Welch",1124.11096842528,11,"Montana","Advertisement",0
"Celesta Bergnaum",553.639358352825,8,"Montana","Employee Referral",0
"Velda Cormier",1578.54428541907,2,"Indiana","Employee Referral",0
"Miss Suzan Schmitt",1257.00549540844,8,"Colorado","Social Media",1
"Rebecca Sporer",753.41064925701,1,"Idaho","Employee Referral",0
"Braden Friesen",762.699498228448,2,"Indiana","Advertisement",0
"Terrill Davis",1603.1451678413,3,"Idaho","Social Media",0
"Dr. Roe Spencer",569.380636612055,1,"Montana","Advertisement",0
"Reese Ankunding",923.972338288319,4,"Indiana","Advertisement",0
"Ewell Carroll",595.08424178496,4,"Idaho","Advertisement",0
"Rhonda Hessel",700.632631123858,4,"Indiana","Social Media",1
"Roselyn Keeling-Daugherty",1107.40000182408,10,"Idaho","Advertisement",1
"Daneen Quitzon",1034.26568906269,1,"Montana","Employee Referral",0
"Hughes Hegmann",422.708074949793,11,"Montana","Advertisement",0
"Tory Bahringer",717.832800706815,10,"Montana","Employee Referral",0
"Dominic Hermann",1679.38875610198,11,"Montana","Social Media",0
"Jethro Sawayn Sr.",750.881050410682,7,"Indiana","Social Media",0
"Ms. Mavis Goodwin",512.170090971405,1,"Indiana","Advertisement",0
"Jase Haag",1505.65831878104,12,"Montana","Advertisement",0
"Dr. Tommie Metz",1182.97315164883,12,"Montana","Advertisement",0
"Jerold Rice",488.825143651369,7,"Montana","Employee Referral",0
"Maribel Hansen",926.831866970553,5,"Montana","Employee Referral",1
"Donavan Murray",786.736723617207,7,"Colorado","Advertisement",0
"Hasan Pfannerstill-Schoen",1722.09837003025,11,"Idaho","Social Media",0
"Etna Ziemann PhD",3720.66120343755,7,"Montana","Employee Referral",1
"Amerigo Hagenes DVM",498.853240656584,10,"Montana","Employee Referral",0
"Dr. Vere Kunze DVM",699.532842521236,12,"Indiana","Advertisement",0
"Tyron Walter",473.588274471162,11,"Idaho","Employee Referral",0
"Ardelia Waelchi",867.583738214298,5,"Indiana","Advertisement",1
"Ashly Prohaska-Kiehn",1149.72518779042,8,"Indiana","Advertisement",1
"Winter Kemmer",867.455271698015,6,"Montana","Social Media",1
"Mr. Aime Ebert",810.61394046758,7,"Colorado","Social Media",1
"Hassie Koepp",1247.18320223554,10,"Indiana","Advertisement",0
"Jaylee Hamill MD",1011.87864771003,3,"Colorado","Social Media",1
"Rueben Pacocha",833.328736775523,12,"Montana","Advertisement",0
"Burdette Mohr",587.350062967386,4,"Indiana","Employee Referral",1
"Aarav Murazik",661.022274468397,7,"Indiana","Advertisement",0
"Martha Steuber",937.407435952806,2,"Montana","Employee Referral",0
"Dellar Waters",811.973506425148,9,"Montana","Advertisement",1
"Alicia Upton",1183.17681661296,12,"Colorado","Employee Referral",0
"Mr. Audley Denesik DVM",674.559025535194,6,"Idaho","Advertisement",1
"Tanika Casper",865.280069664419,12,"Indiana","Advertisement",0
"Mr. Seward Aufderhar",694.012772191118,7,"Montana","Employee Referral",0
"Randolph Larkin-Terry",954.550301500792,5,"Idaho","Advertisement",1
"Patti Hegmann",1052.36158746862,9,"Montana","Advertisement",0
"Alanzo Berge",1699.29415218928,9,"Idaho","Employee Referral",1
"Hasan Kuhic III",1471.24256730948,2,"Indiana","Employee Referral",0
"Essence Marvin",1237.33064554129,6,"Indiana","Advertisement",1
"Rosella Eichmann",866.066558186967,1,"Montana","Social Media",0
"Dr. Arlo Howell I",395.150084897618,3,"Idaho","Advertisement",1
"Wilda Carter",821.542643950997,1,"Idaho","Advertisement",0
"Wilfrid Stamm",937.629455034806,11,"Indiana","Social Media",0
"Falon Marks DDS",642.228212629901,11,"Montana","Advertisement",0
"Aloysius Klocko",521.578294818149,4,"Montana","Social Media",1
"Benton Schowalter",839.617574385953,10,"Montana","Advertisement",0
"Barbra Runolfsdottir",549.163594211018,11,"Idaho","Employee Referral",0
"Verlyn Boehm",990.074822828488,6,"Montana","Social Media",1
"Mrs. Elena Haley DDS",399.722875876198,2,"Montana","Social Media",0
"Allyn Stanton",661.24225224166,7,"Indiana","Advertisement",1
"Coleman Corwin-Gutkowski",598.354795629783,7,"Colorado","Social Media",0
"Winifred Bode-Satterfield",1842.47684836336,6,"Montana","Advertisement",1
"Senora Miller DDS",865.836595458396,5,"Idaho","Advertisement",1
"Miss Paisley Kerluke DDS",499.514850720936,5,"Idaho","Advertisement",0
"Galilea Mueller-Weber",384.177511337711,7,"Indiana","Social Media",0
"Victory Kris",968.468719028956,10,"Idaho","Advertisement",1
"Houston Pfannerstill",1423.49159256372,2,"Montana","Advertisement",0
"Claudie Hand",812.390148259875,2,"Idaho","Social Media",0
"Mr. Jerad Gleason",545.334387808075,8,"Montana","Social Media",0
"Floy Heller",1045.18050987322,3,"Idaho","Social Media",1
"Mr. Jaleel Larkin",559.823405923014,6,"Idaho","Employee Referral",1
"Duane Tillman",776.408026023597,6,"Montana","Employee Referral",0
"Dimitrios Lueilwitz III",930.552357582257,11,"Montana","Employee Referral",0
"Ms. Netta Leffler",822.170349763303,7,"Indiana","Advertisement",0
"Leeroy Will",560.739556216286,4,"Montana","Advertisement",0
"Gillie Klocko",1622.13251286036,8,"Montana","Social Media",1
"Halbert Green V",1418.36924913871,4,"Montana","Advertisement",0
"Micky Doyle",654.85470230466,11,"Colorado","Social Media",0
"Izola Ward",648.225064108294,2,"Colorado","Employee Referral",0
"Tylor Ryan",1768.06027431301,4,"Idaho","Advertisement",0
"Emerson McKenzie",663.666148312319,1,"Indiana","Employee Referral",0
"Miss Kenyatta Marquardt",632.452515816018,9,"Indiana","Social Media",0
"Taylor Gleichner MD",665.060234614713,12,"Montana","Advertisement",0
"Blanche Collier",380.477732146324,5,"Montana","Social Media",0
"Bascom McKenzie",597.593815423277,2,"Colorado","Social Media",0
"Vere Feeney",1051.06779002104,6,"Indiana","Employee Referral",1
"Myrtle Morar",1190.5888800333,12,"Montana","Social Media",0
"Mr. Kevin Fritsch",504.331186962551,9,"Colorado","Advertisement",0
"Lisle Prosacco MD",1075.18114080049,10,"Montana","Advertisement",0
"Mr. Nello Walsh",1013.40041019371,7,"Montana","Employee Referral",1
"Mrs. Freida Marvin",676.398615060866,9,"Montana","Social Media",0
"Melinda Tremblay",488.320858401342,8,"Montana","Advertisement",0
